quatre_a,quatre-_NUMBER_nc
s'en_aller_v,
se_passer_v,
onze_a,_NUMBER_nc
se_tromper_v,
juste_à_temps_b,
avoir_l’air_de_v,
se_taire_v,taire_v
oiseau_de_mer_n,oiseau_nc
demain_n,demain_adv
mille_a,_NUMBER_nc
ici_n,ici_adv
chef-d'œuvre_n,
Terre_n,terre_nc
trois_a,_NUMBER_nc
faire_semblant_v,
convaincu_a,convaincre_adj
cinq_a,_NUMBER-cinq_nc
Pacifique_n,pacifique_nc
attendre_avec_impatience_v,attendre_v
petit_déjeuner_n,petit-déjeuner_nc
Pôle_Nord_n,
orgueilleuse_a,orgueilleux_adj
au_lieu_de_b,au_lieu_de_prep
plonger_dans_v,plonger_v
vingt-deux_a,_NUMBER_nc
il_y_a_b,il_y_a_prep
bonne_nuit_n,bonne_nuit_pres
vingt-deux_n,_NUMBER_nc
forêt_vierge_n,
obligé_a,obligé_nc
de_temps_en_temps_b,
serré_a,serrer_adj
quarante-quatre_a,_NUMBER_nc
huit_a,huit_nc
vingt-quatre_n,
Lune_n,lune_nc
surpris_a,surprise_adj
se_coucher_v,coucher_v
se_reposer_v,reposer_v
peine_de_mort_n,
se_souvenir_v,souvenir_v
publique_a,public_adj
chacun_b,chacun_pro
être_d'accord_v,accorder_v
Pôle_Sud_n,
loin_a,loin_adv
se_vider_v,vider_v
cinquante_a,cinquante-_NUMBER_nc
rendre_visite_v,rendre_visite_ncpred
faire_attention_v,attention_ncpred
bien_que_n,bien_que_csu
s'occuper_de__v,occuper_v
se_tenir_v,tenir_v
se_trouver_v,trouver_v
comme_b,comme_prep
voici_b,voici_v
vingt-huit_n,_NUMBER_nc
trente_a,_NUMBER_nc
n'importe_quoi_a,
avoir_envie_de_v,envie_ncpred
autour_de_b,autour_de_prep
vingt_a,vingt_nc
quelqu'un_n,quelqu'un_pro
coucher_de_soleil_n,
salé_a,
soixante-douze_a,soixante-_NUMBER_nc
lever_du_soleil_n,
quarante_a,quarante_nc
vingt-six_n,vingt_nc
avoir_mal_v,
rouillé_a,rouiller_v
se_servir_de_v,
cent_a,
que_b,
six_a,
soixante_a,
