,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
éternel_a,individuellement_b,0.9433701634407043,contenu_n,0.8920542001724243,excuse_n,0.8885570764541626,génome_n,0.8584192395210266,socialisation_n,0.8583561182022095,douanes_n,0.8502238988876343,divin_a,0.8502140045166016,hanche_n,0.8493290543556213,fesse_n,0.848881185054779,désapprobation_n,0.823232889175415
enfermer_v,soleil_n,0.8974007964134216,réverbère_n,0.8379640579223633,conscience_n,0.8341809511184692,réaction_n,0.8294481039047241,conflit_n,0.8196976184844971,éthologie_n,0.8121986389160156,thon_n,0.8120773434638977,Winslow_n,0.8008624911308289,lorentz_n,0.7928851842880249,drogue_n,0.7919864654541016
effort_n,probabilité_n,0.870293140411377,wigwam_n,0.8533250093460083,anatomiquement_b,0.7990456819534302,pression_n,0.7889066338539124,présidence_n,0.7835954427719116,parentalité_n,0.782738447189331,hypertension_n,0.7804981470108032,carotide_n,0.7746449708938599,impeachment_n,0.7735109329223633,obésité_n,0.7715926170349121
guère_b,atomique_a,0.9055554270744324,digestif_a,0.8867285847663879,hydroélectrique_a,0.855673611164093,tâter_v,0.8470178842544556,analogique_a,0.8362298011779785,malignement_b,0.8357914686203003,brigadier_n,0.825964629650116,royal_a,0.8194394707679749,huppe_n,0.8092930912971497,drisse_n,0.8015414476394653
infliger_v,églogue_n,0.9149079918861389,exécution_n,0.8835910558700562,aveugle_a,0.8724236488342285,périssable_a,0.8570770621299744,cultivable_a,0.8425086736679077,fugitif_a,0.8389673829078674,renouvelable_a,0.837029755115509,perchiste_n,0.8357347249984741,gras_a,0.8237683176994324,PIB_n,0.820790708065033
malade_a,Barbade_n,0.8615316152572632,Ruanda_n,0.8511371612548828,Saint-Christophe-et-Niévès_n,0.8349273800849915,caisse_d'épargne_n,0.8239309787750244,niobium_n,0.8215599060058594,marginalisation_n,0.806259274482727,Lorenz_n,0.8009787201881409,volley-ball_n,0.79859459400177,amaigrir_v,0.7969226837158203,interné_n,0.7945776581764221
manquer_v,Robert_Peary_n,0.8602374792098999,paroxyton_n,0.855794370174408,cremona_n,0.8410964608192444,néomycine_n,0.8259193301200867,Gesell_n,0.8246417045593262,Ernest_Bevin_n,0.8238758444786072,freeman_n,0.8219541907310486,Temuco_n,0.8198874592781067,Martin_Heinrich_Klaproth_n,0.8145903944969177,ustensile_n,0.8132452964782715
cause_n,tentative_n,0.791438102722168,retard_n,0.7810891270637512,escadron_n,0.7719488143920898,accordeur_n,0.7570198178291321,mois_n,0.7541038393974304,bordure_n,0.7496950626373291,perle_n,0.7431328296661377,déceler_v,0.7413048148155212,servir_v,0.7407016754150391,fécule_n,0.7351334095001221
fenêtre_n,ficelle_n,0.8819214105606079,chansonnette_n,0.8621988296508789,notaire_n,0.8546662330627441,bicyclette_n,0.8295516967773438,ores_b,0.8174517750740051,holocauste_n,0.8154171705245972,jonquille_n,0.8014155030250549,confiant_a,0.789258599281311,furet_n,0.7890068292617798,tic_n,0.7831570506095886
neige_n,fluide_n,0.8585681915283203,faiblesse_n,0.8535264730453491,lune_n,0.8437950611114502,Lune_n,0.8426708579063416,idéogramme_n,0.8420568108558655,succession_n,0.8246254324913025,combattant_n,0.823400616645813,ciment_n,0.8069241642951965,oxygène_n,0.8035062551498413,contre-indication_n,0.8003270626068115
mètre_n,sium_n,0.8953120708465576,Calamity_Jane_n,0.8439344763755798,année-lumière_n,0.8192502856254578,incompréhensible_a,0.8148682713508606,Chartisme_n,0.8148654699325562,Crimée_n,0.8056604862213135,maléfique_a,0.7992284893989563,Molise_n,0.7936772704124451,Mariannes_du_Nord_n,0.7912618517875671,réunification_n,0.7910211682319641
quand_même_b,cloaque_n,0.8716871738433838,de_toute_façon_b,0.8706222772598267,accoutrement_n,0.8701952695846558,Gainesville_n,0.8079679608345032,mm_n,0.8010575175285339,Giorgio_Vasari_n,0.7907353043556213,en_tout_cas_b,0.7803124785423279,vingtième_a,0.7771749496459961,par_n,0.7753438353538513,en_revanche_b,0.7697054743766785
épuiser_v,taud_n,0.9187246561050415,furfural_n,0.9159488677978516,ramasse-miette_n,0.91328364610672,meat_loaf_n,0.9029152393341064,shoemaker_n,0.900550365447998,le_Tasse_n,0.8977611064910889,tarpon_n,0.8972147703170776,Edvard_Grieg_n,0.8893471360206604,volvox_n,0.8858948349952698,falco_n,0.8852370977401733
quatrième_a,cinquième_a,0.9187411665916443,contrevenant_n,0.8834127187728882,batailleur_a,0.8443801999092102,malencontreusement_b,0.8399843573570251,troisième_a,0.8278703689575195,véranda_n,0.8257578611373901,acanthus_n,0.8250802159309387,sixième_a,0.8244513273239136,branque_a,0.8192469477653503,Lake_District_n,0.8189438581466675
champignon_n,visionnaire_n,0.9376198053359985,ascendant_n,0.9026975631713867,Kharkov_n,0.8956340551376343,arbuste_n,0.8682330250740051,cire_n,0.8674538135528564,intoxiquer_v,0.8605045080184937,somnoler_v,0.8554219007492065,échouer_v,0.8551797270774841,monteur_n,0.8419722318649292,Tabriz_n,0.8340067863464355
royaume_n,comme_b,0.8798803687095642,transférer_v,0.8420092463493347,atteinte_n,0.831802487373352,Amérique_n,0.8008811473846436,velours_n,0.7934161424636841,bandoulière_n,0.7893358469009399,continuation_n,0.7839834690093994,Asie_n,0.7824451327323914,pacte_n,0.7790035009384155,clause_n,0.7701418399810791
grandir_v,hémogramme_n,0.9110444784164429,respectif_a,0.8480054140090942,évoluer_v,0.845145583152771,poissarde_n,0.8436501622200012,endogène_a,0.8431341648101807,scanneur_n,0.8297244906425476,implosion_n,0.8213492035865784,solécisme_n,0.82097327709198,accroissement_n,0.8161618113517761,consanguinité_n,0.8044239282608032
rassurer_v,condensation_n,0.8476253151893616,intouchable_n,0.8447166085243225,crocus_n,0.8397622108459473,inoculer_v,0.8106178641319275,affaire_n,0.8080350160598755,lecteur_n,0.8071452379226685,nouveau-né_n,0.8060178756713867,rapport_n,0.8019222617149353,schizophrène_n,0.795731246471405,calomnieux_a,0.7832705974578857
fièvre_n,éjaculation_n,0.8500291705131531,rétrograder_v,0.834154486656189,Sfax_n,0.8311752080917358,indéfiniment_b,0.8081379532814026,mauve_n,0.7966455817222595,digitale_n,0.7931533455848694,emprisonner_v,0.7853689789772034,avalanche_n,0.784658670425415,graphite_n,0.7846342325210571,hydrocarbure_n,0.7821780443191528
même_b,capitulation_n,0.8894295692443848,verste_n,0.8668147921562195,informateur_n,0.8652757406234741,paroxysme_n,0.8529877662658691,involontairement_b,0.8449076414108276,sobrement_b,0.8347871899604797,globe_n,0.8201119303703308,morgue_n,0.8186618089675903,Juif_n,0.8012697100639343,Cy_Young_n,0.796343207359314
ennui_n,éternellement_b,0.8383255004882812,réussite_n,0.8276334404945374,scandaliser_v,0.8202803730964661,noblement_b,0.8165815472602844,trouble_n,0.8042101860046387,chagrin_n,0.796379804611206,brader_v,0.7938332557678223,dangereux_a,0.7872183322906494,Van_n,0.7834688425064087,arbre_n,0.7829288244247437
arriver_v,là-dessus_b,0.8792483806610107,discutable_a,0.8604746460914612,vaguer_v,0.8497918248176575,urgent_a,0.8226646780967712,prudemment_b,0.8165475130081177,demi-dieu_n,0.805699348449707,établi_n,0.7860573530197144,badiner_v,0.7836863994598389,à_juste_titre_b,0.7817046046257019,orthographier_v,0.7812747359275818
septième_a,isotopique_a,0.8671924471855164,laiteux_a,0.8519078493118286,monstrueusement_b,0.8220486044883728,nutritionnel_a,0.8078724145889282,sixième_a,0.7982606887817383,scarole_n,0.7971374988555908,huileux_a,0.7912929058074951,essuie-glace_n,0.7905040979385376,anormalité_n,0.7875673174858093,hypoglycémiant_a,0.7790055871009827
explorateur_n,turbidité_n,0.8356314897537231,insulaire_n,0.8246174454689026,bambin_n,0.8113113045692444,consécration_n,0.7998387813568115,tresse_n,0.7816832065582275,Crésus_n,0.7782474160194397,infaisable_a,0.7712705731391907,Limeira_n,0.7695423364639282,astre_n,0.7681907415390015,détonation_n,0.7519510984420776
résoudre_v,passable_a,0.8589636087417603,Mark_Rothko_n,0.8289397954940796,micelle_n,0.8173877000808716,yoruba_n,0.799083411693573,boolien_a,0.7981153726577759,gloriette_n,0.7935376167297363,Ptolémée_n,0.7907201647758484,vascularite_n,0.7855095863342285,affreusement_b,0.7850592136383057,aquila_chrysaetos_n,0.7748023271560669
lendemain_n,élisabéthain_a,0.8850950002670288,ordinairement_b,0.7894919514656067,Plácido_Domingo_n,0.7791619300842285,présentateur_n,0.7716662287712097,enregistrement_n,0.7683327198028564,jeux_Olympiques_n,0.7606426477432251,justement_b,0.7574110627174377,assaisonner_v,0.7480118870735168,gigogne_a,0.7469748854637146,Elizabeth_Taylor_n,0.7451819777488708
rosier_n,inquisition_n,0.9069468379020691,explosion_n,0.8948271870613098,verrouiller_v,0.8701337575912476,sérieux_a,0.8656842708587646,hanter_v,0.8592597246170044,pollinisation_n,0.8539748191833496,cassette_n,0.853593111038208,paver_v,0.8513098359107971,surréaliste_n,0.8218672871589661,biome_n,0.8197465538978577
