,0
Afrique_np,Afrique_np
afrique:_LOCATION_np,Afrique_n
Amérique_du_Nord_np,Amérique_du_Nord_np
amérique_du_nord:_LOCATION_np,Amérique_du_Nord_n
arafat:_PERSON_f_np,arafat:_PERSON_f_np
arafat:_PERSON_m_np,Arafat_n
arafat:_PERSON_np,arafat:_PERSON_np
arafat:_LOCATION_np,arafat:_LOCATION_np
europe:_LOCATION_np,Europe_n
europe:_PERSON_np,europe:_PERSON_np
Europe_np,Europe_np
fbi:_ORGANIZATION_np,FBI_n
FBI_np,FBI_np
france:_PERSON_np,france:_PERSON_np
France_np,France_np
france:_COMPANY_np,france:_COMPANY_np
france:_LOCATION_np,France_n
freud:_PERSON_f_np,Freud_n
freud:_PERSON_m_np,freud:_PERSON_m_np
inde:_LOCATION_np,Inde_n
inde_nc,inde_nc
israël:_LOCATION_np,Israël_n
israël:_PERSON_np,israël:_PERSON_np
Israël_np,Israël_np
israël:_PERSON_m_np,israël:_PERSON_m_np
jupiter:_COMPANY_np,jupiter:_COMPANY_np
jupiter:_LOCATION_np,jupiter:_LOCATION_np
Jupiter_np,Jupiter_n
jérusalem:_LOCATION_np,Jérusalem_n
jérusalem:_ORGANIZATION_np,jérusalem:_ORGANIZATION_np
Jérusalem_np,Jérusalem_np
noël_nc,Noël_n
noël:_PERSON_np,noël:_PERSON_np
noël:_PERSON_m_np,noël:_PERSON_m_np
noël:_PERSON_f_np,noël:_PERSON_f_np
noël:_LOCATION_np,noël:_LOCATION_np
palestine:_LOCATION_np,Palestine_n
palestine:_PERSON_f_np,palestine:_PERSON_f_np
palestine:_ORGANIZATION_np,palestine:_ORGANIZATION_np
russie:_LOCATION_np,Russie_n
Russie_np,Russie_np
Sibérie_np,Sibérie_np
sibérie:_LOCATION_np,Sibérie_n
accident:_LOCATION_np,accident:_LOCATION_np
accident:_COMPANY_np,accident:_COMPANY_np
accident_nc,accident_n
accord:_COMPANY_np,accord:_COMPANY_np
accord_nc,accord_n
accord:_LOCATION_np,accord:_LOCATION_np
action:_ORGANIZATION_np,action:_ORGANIZATION_np
action_nc,action_n
année:_PERSON_m_np,année:_PERSON_m_np
année_nc,année_n
argent:_ORGANIZATION_np,argent:_ORGANIZATION_np
argent_nc,argent_n
armée:_ORGANIZATION_np,armée:_ORGANIZATION_np
armée:_PERSON_np,armée:_PERSON_np
armée_nc,armée_n
assurance_nc,assurance_n
assurance:_COMPANY_np,assurance:_COMPANY_np
aube_nc,aube_n
aube:_LOCATION_np,aube:_LOCATION_np
avion:_LOCATION_np,avion:_LOCATION_np
avion_nc,avion_n
avis:_COMPANY_np,avis:_COMPANY_np
avis_nc,avis_n
ballon:_LOCATION_np,ballon:_LOCATION_np
ballon_nc,ballon_n
ballon:_PERSON_np,ballon:_PERSON_np
bar:_PERSON_m_np,bar:_PERSON_m_np
bar_nc,bar_n
baseball:_PERSON_m_np,baseball:_PERSON_m_np
baseball_nc,baseball_n
bataille:_PERSON_f_np,bataille:_PERSON_f_np
bataille:_PERSON_m_np,bataille:_PERSON_m_np
bataille_nc,bataille_n
beauté:_LOCATION_np,beauté:_LOCATION_np
beauté_nc,beauté_n
bière_nc,bière_n
bière:_LOCATION_np,bière:_LOCATION_np
bois:_LOCATION_np,bois:_LOCATION_np
bois:_PERSON_f_np,bois:_PERSON_f_np
bois:_PERSON_m_np,bois:_PERSON_m_np
bois_nc,bois_n
bond:_PERSON_f_np,bond:_PERSON_f_np
bond:_PERSON_m_np,bond:_PERSON_m_np
bond_nc,bond_n
bonheur_nc,bonheur_n
bonheur:_PERSON_m_np,bonheur:_PERSON_m_np
boulon:_LOCATION_np,boulon:_LOCATION_np
boulon_nc,boulon_n
bouquet:_LOCATION_np,bouquet:_LOCATION_np
bouquet_nc,bouquet_n
bout:_PERSON_m_np,bout:_PERSON_m_np
bout_nc,bout_n
bridge:_LOCATION_np,bridge:_LOCATION_np
bridge_nc,bridge_n
buisson:_LOCATION_np,buisson:_LOCATION_np
buisson:_PERSON_m_np,buisson:_PERSON_m_np
buisson_nc,buisson_n
bulle:_LOCATION_np,bulle:_LOCATION_np
bulle_nc,bulle_n
bébé_nc,bébé_n
bébé:_PERSON_np,bébé:_PERSON_np
café:_LOCATION_np,café:_LOCATION_np
café_nc,café_n
cage_nc,cage_n
cage:_PERSON_m_np,cage:_PERSON_m_np
camarade_nc,camarade_n
camarade:_LOCATION_np,camarade:_LOCATION_np
camp:_PERSON_m_np,camp:_PERSON_m_np
camp_nc,camp_n
canon_nc,canon_n
canon:_LOCATION_np,canon:_LOCATION_np
canon:_COMPANY_np,canon:_COMPANY_np
canyon_nc,canyon_n
canyon:_LOCATION_np,canyon:_LOCATION_np
carbone:_PERSON_m_np,carbone:_PERSON_m_np
carbone_nc,carbone_n
carte:_PERSON_m_np,carte:_PERSON_m_np
carte_nc,carte_n
cause_nc,cause_n
cause:_LOCATION_np,cause:_LOCATION_np
cave_nc,cave_n
cave:_PERSON_m_np,cave:_PERSON_m_np
cellule_nc,cellule_n
cellule:_LOCATION_np,cellule:_LOCATION_np
chambre_nc,chambre_n
chambre:_PERSON_m_np,chambre:_PERSON_m_np
chambre:_LOCATION_np,chambre:_LOCATION_np
champagne:_PERSON_np,champagne:_PERSON_np
champagne:_PERSON_f_np,champagne:_PERSON_f_np
champagne:_LOCATION_np,champagne:_LOCATION_np
champagne_nc,champagne_n
champion:_LOCATION_np,champion:_LOCATION_np
champion:_COMPANY_np,champion:_COMPANY_np
champion:_PERSON_m_np,champion:_PERSON_m_np
champion_nc,champion_n
chance:_LOCATION_np,chance:_LOCATION_np
chance_nc,chance_n
chaos:_LOCATION_np,chaos:_LOCATION_np
chaos_nc,chaos_n
chapeau:_LOCATION_np,chapeau:_LOCATION_np
chapeau_nc,chapeau_n
chapelle:_LOCATION_np,chapelle:_LOCATION_np
chapelle_nc,chapelle_n
cheval:_LOCATION_np,cheval:_LOCATION_np
